track_id,source_file,method,input_dir,signal_column,num_samples,signal_mean,signal_std,background_std,residual_mean,residual_std,residual_rms,peak_abs_residual,response_mean,response_std,peak_response,baseline_family,background_window,background_method,wavelet_name,wavelet_level,wavelet_threshold,mirror_pad_size,denoised_delta_rms,hankel_window,lambda_value,pcp_iterations,pcp_final_rel_error,pcp_estimated_rank,reconstruction_error,num_imfs,keep_imfs,num_modes,keep_modes,lowest_center_frequency,highest_center_frequency,basis_type,basis_order,ridge_lambda
A1-31.1_preprocessed,A1-31.1_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,6830,47365.41532510982,54.625719437217946,54.63696040062358,-0.11560413616390973,2.2242516293301606,2.227253830814099,16.315999999998894,4.4375328267304885,6.966602875813491,72.66291049886745,highpass,301.0,median,,,,,,,,,,,,,,,,,,,,
A1-32.1_preprocessed,A1-32.1_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,3913,47387.159819575776,52.621148499593,51.85649262938389,-0.2506783797601146,7.260268305006738,7.26459465564078,290.0665000000008,4.312922835154774,12.429264040041684,153.76521626322057,highpass,301.0,median,,,,,,,,,,,,,,,,,,,,
A1-4.1_preprocessed,A1-4.1_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,26988,47326.33081573292,66.8450195681527,66.84676059629707,0.010194743960382486,0.835743144741806,0.8358053223013963,30.272500000006403,3.182746297326922,15.797214693916793,495.1684212321382,highpass,301.0,median,,,,,,,,,,,,,,,,,,,,
A1-5.1_preprocessed,A1-5.1_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,28967,47342.61502720337,66.80818150167894,66.98215375360438,-0.08460379915074513,1.911784143929798,1.9136552499894364,58.66350000000239,10.516011467282281,105.70254843268899,3350.7196610950277,highpass,301.0,median,,,,,,,,,,,,,,,,,,,,
A1-6.1_preprocessed,A1-6.1_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,25024,47343.69338758791,65.13787690882785,65.11395444239899,-0.011840463155339343,0.9143318887146996,0.9144085516268549,30.92949999999837,4.023477199646268,20.946187012487993,699.9801184672201,highpass,301.0,median,,,,,,,,,,,,,,,,,,,,
A1-6.2_preprocessed,A1-6.2_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,18873,47339.83626296826,65.92722247349494,65.89818685606033,-0.006819821967929631,2.0561190141211565,2.056130324226126,82.44350000000122,8.267331132543061,51.78833640427645,1333.9752842699406,highpass,301.0,median,,,,,,,,,,,,,,,,,,,,
A1-7.1_preprocessed,A1-7.1_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,27273,47346.636747222525,66.09618959497318,66.00315189871782,0.15313454698775128,4.566277800404783,4.568844836493213,171.58550000000105,4.919649327690971,35.06946661139439,3029.905227299405,highpass,301.0,median,,,,,,,,,,,,,,,,,,,,
A1-8.1_preprocessed,A1-8.1_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,23266,47392.331283955136,63.71691379870818,63.70783972064409,-0.007814579214317517,1.2155940238829008,1.215619142062233,37.66900000000169,2.472884425974587,6.086402900661463,74.66199753891206,highpass,301.0,median,,,,,,,,,,,,,,,,,,,,
A1-9.1_preprocessed,A1-9.1_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,24353,47323.120894817876,60.91123414575416,60.897099497771165,-0.02209495750022947,0.6853069234581667,0.6856630123366977,15.920500000000175,2.553430564589859,5.436329639403275,97.84286250999251,highpass,301.0,median,,,,,,,,,,,,,,,,,,,,
A1-10.1_preprocessed,A1-10.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,27509,47327.831561416264,64.18806829142939,64.1250526476709,-0.00015665354202928306,2.8376623311108364,2.8376623354348762,150.79284096296033,0.9058896408077827,1.145017683378832,30.216739076153566,wavelet,,,db4,6.0,0.22062112858930655,800.0,0.07826583742773156,,,,,,,,,,,,,,,
A1-11.1_preprocessed,A1-11.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,22205,47324.3246881333,62.401951258838565,62.39896797869994,-0.0001360033817926759,0.5595621515686002,0.5595621680966298,20.171307232623803,0.9338404692489002,0.8173409755209831,14.182020222013929,wavelet,,,db4,6.0,0.21949647435229555,800.0,0.07800748118115869,,,,,,,,,,,,,,,
A1-13.1_preprocessed,A1-13.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,22296,47385.57036315931,58.884577737169344,58.502860198108856,-0.0001546533926304549,6.684294266342577,6.684294268131671,307.744247533672,1.0650478086348887,1.9176705760384012,198.54545003647584,wavelet,,,db4,6.0,0.22419504041523464,800.0,0.0802490675549114,,,,,,,,,,,,,,,
A1-14.1_preprocessed,A1-14.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,8728,47345.13846282081,64.47016866505582,64.38939866543804,-0.0003039384619598079,3.2077506992806386,3.2077507136799164,118.12327203671157,1.0426165702496317,1.163382673503108,17.9679799793949,wavelet,,,db4,6.0,0.24419480034437271,800.0,0.11500060560340541,,,,,,,,,,,,,,,
A1-15.1_preprocessed,A1-15.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,27940,47335.822255762345,60.12764248506554,60.125738976277084,-9.34813297438788e-05,0.4534710446327981,0.45347105426820816,11.95013080460194,0.8001118660121969,0.6451237838172518,9.47397605897923,wavelet,,,db4,6.0,0.22491365867003466,800.0,0.07673323555822616,,,,,,,,,,,,,,,
A1-16.1_preprocessed,A1-16.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,21424,47363.788944104745,65.19537467712472,65.14809463715262,-0.00022165610877359756,2.4731074614934485,2.473107471426585,91.12571270876651,0.9594965949075795,0.9322431911411531,14.195904966579256,wavelet,,,db4,6.0,0.23442437434122543,800.0,0.07750511148426018,,,,,,,,,,,,,,,
A1-17.1_preprocessed,A1-17.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,1936,47340.415016270665,52.98488136090471,52.857754345131816,0.03213195649653822,2.7924306174836833,2.7926154794544487,24.567016021457675,0.8267027242142283,0.563475534172295,3.6196003704326425,wavelet,,,db4,6.0,0.3412413820658687,800.0,0.19129209105857015,,,,,,,,,,,,,,,
A1-18.1_preprocessed,A1-18.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,20036,47384.59730999201,62.781410407000735,62.701762634313056,2.545489737225548e-05,3.151137146671708,3.1511371467745204,166.05973759154585,0.9622945767095036,0.914639727565391,15.29538372885399,wavelet,,,db4,6.0,0.22476676159413259,800.0,0.07991680878209821,,,,,,,,,,,,,,,
A1-19.1_preprocessed,A1-19.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,3317,47381.21892447996,62.988178145926724,62.9440480346932,-0.001108160398881276,2.29070880092144,2.290709068964981,27.926622497892822,0.8200191193845416,0.6674746624548791,4.922231937764012,wavelet,,,db4,6.0,0.3092458433996417,800.0,0.1690816219560604,,,,,,,,,,,,,,,
A1-2.1_preprocessed,A1-2.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,19417,47330.99262901065,64.28820162657205,64.28273445087736,-0.0002048765962102579,0.8221409972636423,0.8221410227911485,16.44779180212936,0.818682902097463,0.7193934037536394,8.377244920562013,wavelet,,,db4,6.0,0.22141037472103567,800.0,0.07365600744745036,,,,,,,,,,,,,,,
A1-20.1_preprocessed,A1-20.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,1725,47349.45495130435,51.89425850316468,51.75669124583586,0.029926389251376733,3.1855081671084395,3.1856487363625314,17.68500956632488,0.820554930065271,0.6053799074036863,4.424536828385498,wavelet,,,db4,6.0,0.31333531256551245,800.0,0.17280217700441403,,,,,,,,,,,,,,,
A1-21.1_preprocessed,A1-21.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,1437,47363.66825748087,71.0036512856073,70.95549950008613,-0.0006063812934276589,2.494851569855106,2.4948516435465176,16.294386551766365,0.9458727834621116,0.7683836285184018,5.02458161449753,wavelet,,,db4,6.0,0.43353135012047034,800.0,0.258562685667061,,,,,,,,,,,,,,,
A1-22.1_preprocessed,A1-22.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,6907,47289.77958838859,9.782856528385357,9.762238869646072,-5.947389811140799e-05,0.614849060781108,0.6148490636575412,9.691963913865038,0.8830516882033356,0.6930529295881513,10.42311169614105,wavelet,,,db4,6.0,0.20561795761662627,800.0,0.06978006871311539,,,,,,,,,,,,,,,
A1-23.1_preprocessed,A1-23.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,5098,47369.53643732836,62.375249603170445,62.36615392297225,-0.0009000091293340806,1.0331474342877833,1.0331478263016685,18.506760049509467,0.9519460184306705,0.9652826157050707,13.913283467403632,wavelet,,,db4,6.0,0.2591382340013025,800.0,0.13295535606211376,,,,,,,,,,,,,,,
A1-25.1_preprocessed,A1-25.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,5077,47351.06992741777,56.04158921223891,56.01111759790484,0.0036368564580047153,1.730204740743058,1.7302085630393373,14.498079724980926,0.8059106276549755,0.5942583108859341,4.638735530862994,wavelet,,,db4,6.0,0.26965668999249126,800.0,0.1393423414188917,,,,,,,,,,,,,,,
A1-26.1_preprocessed,A1-26.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,1227,47263.99233863081,40.30067941313381,39.52695556357175,0.2238211197781761,5.180542799430947,5.18537554960049,35.656028320037876,0.8422183917323957,0.6656579980249345,3.503594875293717,wavelet,,,db4,6.0,0.4109828660758068,800.0,0.23635738385773014,,,,,,,,,,,,,,,
A1-27.1_preprocessed,A1-27.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,26256,47325.45195640997,53.046539006075,53.04171852034215,-0.00012638861116950437,0.7147996312813057,0.7147996424551231,15.793942383323156,0.7463602705327846,0.5875248440361475,10.73877855588882,wavelet,,,db4,6.0,0.2211224783486855,800.0,0.07007180301359997,,,,,,,,,,,,,,,
A1-29.1_preprocessed,A1-29.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,25614,47316.54771376982,52.545298904970345,52.53958987096546,0.00017747679505853917,0.75732476966545,0.7573247904610279,31.347750192748208,0.8561988132323126,0.7824625342675378,16.76755259677465,wavelet,,,db4,6.0,0.2189947630311808,800.0,0.07455934078476212,,,,,,,,,,,,,,,
A1-3.1_preprocessed,A1-3.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,27104,47351.17085671857,65.52520888138146,65.52359775104513,-0.00010403554972030137,0.4490586168914867,0.4490586289426922,13.056063318159431,0.8156128211663269,0.6116549478356023,5.919287592044795,wavelet,,,db4,6.0,0.23146947671772597,800.0,0.06772895243187212,,,,,,,,,,,,,,,
A1-30.1_preprocessed,A1-30.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,6501,47321.648978695586,45.9089853137576,45.86094369004752,0.002671511842573895,2.0104822265822206,2.01048400152265,56.46792371812626,0.949781210313764,1.0125050466328633,18.217947018418496,wavelet,,,db4,6.0,0.25437901533270507,800.0,0.12423841933844178,,,,,,,,,,,,,,,
A1-31.1_preprocessed,A1-31.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,6830,47365.41532510982,54.625719437217946,54.61278309940465,-0.0012344939859428355,1.1854184456697239,1.1854190884701603,14.227707758276665,0.8723996799554343,0.7208128284863015,9.770907783898464,wavelet,,,db4,6.0,0.2677232771905118,800.0,0.13433418820893672,,,,,,,,,,,,,,,
A1-32.1_preprocessed,A1-32.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,3913,47387.159819575776,52.621148499593,52.19401947363781,-0.005483179215984932,6.624270467208249,6.624272736533554,276.48034129469306,0.8524172590281326,0.7401039772493784,10.66152161845431,wavelet,,,db4,6.0,0.3268227269434062,800.0,0.17566797840067114,,,,,,,,,,,,,,,
A1-4.1_preprocessed,A1-4.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,26988,47326.33081573292,66.8450195681527,66.84209916289038,-0.00025146498341816945,0.6067541133228845,0.606754165431831,24.520719649903185,0.818373571466617,0.6322699112687004,7.241928045305117,wavelet,,,db4,6.0,0.22220698156816637,800.0,0.07453155687750083,,,,,,,,,,,,,,,
A1-5.1_preprocessed,A1-5.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,28967,47342.61502720337,66.80818150167894,66.80146744579328,-7.2691558177183e-05,0.9460960815549606,0.946096084347522,30.576823517418234,0.9403387129817766,1.0552397089820695,56.217062785936534,wavelet,,,db4,6.0,0.2317299131757005,800.0,0.06844815214129359,,,,,,,,,,,,,,,
A1-6.1_preprocessed,A1-6.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,25024,47343.69338758791,65.13787690882785,65.13329469343653,-0.0001944727481352803,0.7729978327560451,0.7729978572190173,30.24846525882458,0.8904069537523314,0.7177476938571757,10.003697633211626,wavelet,,,db4,6.0,0.2264987151056206,800.0,0.06832418929443436,,,,,,,,,,,,,,,
A1-6.2_preprocessed,A1-6.2_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,18873,47339.83626296826,65.92722247349494,65.89820898083408,-0.000271071436854358,1.9384302597189105,1.9384302786723198,78.74590225582506,0.8882120567103574,0.9160500076957118,30.070197986000952,wavelet,,,db4,6.0,0.21271617735036322,800.0,0.06504766946314831,,,,,,,,,,,,,,,
A1-7.1_preprocessed,A1-7.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,27273,47346.636747222525,66.09618959497318,66.04397849686251,-0.00012911173517570106,2.622729077875206,2.6227290810531625,84.99803392500326,0.8964397710545766,0.7677143554971554,14.772790137944494,wavelet,,,db4,6.0,0.22726784923033402,800.0,0.07145868523180152,,,,,,,,,,,,,,,
A1-8.1_preprocessed,A1-8.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,23266,47392.331283955136,63.71691379870818,63.70881245204291,-6.980004332291652e-05,1.000602994733031,1.000602997167586,29.182080689250142,0.9891432485456577,0.8483382217120299,10.193457455802681,wavelet,,,db4,6.0,0.23559119685105098,800.0,0.07753866059595002,,,,,,,,,,,,,,,
A1-9.1_preprocessed,A1-9.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,24353,47323.120894817876,60.91123414575416,60.90903906567429,-0.00013913792231887287,0.5304441262312987,0.5304441444795553,13.611922209929617,0.7636311674730674,0.6379878124869534,11.64798951764631,wavelet,,,db4,6.0,0.22446668978771972,800.0,0.0731174037341571,,,,,,,,,,,,,,,
A1-10.1_preprocessed,A1-10.1_preprocessed__single_channel.csv,lowrank_sparse,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,27509,47327.831561416264,64.18806829142939,64.15101434598833,0.09355923645040115,3.2912332407053104,3.2925627671236226,184.200835749587,0.8283284551531561,0.9351993930122977,36.17399304681375,lowrank_sparse,,,,,,,,96.0,0.00603967814687968,18.0,7.644467656544193e-06,2.0,6.399438485862884e-06,,,,,,,,,
A1-11.1_preprocessed,A1-11.1_preprocessed__single_channel.csv,lowrank_sparse,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,22205,47324.3246881333,62.401951258838565,62.40837535579889,0.012590711398942021,0.5842227258665872,0.5843583827006479,22.945485133634065,1.0190815315962412,1.0860435457743236,18.20814055265751,lowrank_sparse,,,,,,,,96.0,0.00672520657209566,18.0,8.623583371945674e-06,2.0,6.3288195168537875e-06,,,,,,,,,
A1-13.1_preprocessed,A1-13.1_preprocessed__single_channel.csv,lowrank_sparse,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,22296,47385.57036315931,58.884577737169344,58.22408449111037,0.29744347661956755,7.52022450601952,7.526104519784462,359.29688918914326,0.9830823376111104,2.6112555647661915,109.21358163476962,lowrank_sparse,,,,,,,,96.0,0.006711409395973154,19.0,9.588885729618558e-06,2.0,7.859322936704681e-06,,,,,,,,,
A1-14.1_preprocessed,A1-14.1_preprocessed__single_channel.csv,lowrank_sparse,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,8728,47345.13846282081,64.47016866505582,64.28034620530033,-0.02585282273216483,3.273570565279099,3.273672649228224,125.51648456054681,1.0813028098455126,3.3199132325435903,101.1087698351154,lowrank_sparse,,,,,,,,96.0,0.010762647825142236,22.0,9.731057876048003e-06,3.0,8.019756267128866e-06,,,,,,,,,
A1-15.1_preprocessed,A1-15.1_preprocessed__single_channel.csv,lowrank_sparse,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,27940,47335.822255762345,60.12764248506554,60.12812296113364,0.004452773999048751,0.46075020640600983,0.460771722113529,13.46952382280142,0.8972753265645773,0.8405500579519027,13.772942398750677,lowrank_sparse,,,,,,,,96.0,0.005992753150382731,18.0,9.933974399296358e-06,2.0,7.110203719338446e-06,,,,,,,,,
